mode,map,brawler,rank,wins,total,winrate,userate
bounty,Hideout,BUSTER,14,3,13,23.1,0.1
bounty,Hideout,BUSTER,15,3,6,50.0,0.2
bounty,Hideout,BUSTER,16,2,2,100.0,0.1
bounty,Hideout,BUZZ,11,1,1,100.0,0.1
bounty,Hideout,BUZZ,12,2,7,28.6,0.2
bounty,Hideout,BUZZ,13,15,26,57.7,0.1
bounty,Hideout,BUZZ,14,2,3,66.7,0.0
bounty,Hideout,BUZZ,15,2,3,66.7,0.1
bounty,Hideout,BUZZ,16,1,2,50.0,0.1
bounty,Hideout,BYRON,10,30,66,45.5,8.1
bounty,Hideout,BYRON,11,83,144,57.6,7.8
bounty,Hideout,BYRON,12,136,295,46.1,7.3
bounty,Hideout,BYRON,13,1301,2504,52.0,6.5
bounty,Hideout,BYRON,14,434,835,52.0,7.1
bounty,Hideout,BYRON,15,126,246,51.2,6.3
bounty,Hideout,BYRON,16,60,113,53.1,6.4
bounty,Hideout,BYRON,17,7,15,46.7,4.2
bounty,Hideout,BYRON,18,13,27,48.1,10.1
bounty,Hideout,BYRON,19,5,13,38.5,8.8
bounty,Hideout,BYRON,20,1,2,50.0,4.3
bounty,Hideout,CARL,10,3,7,42.9,0.9
bounty,Hideout,CARL,11,10,21,47.6,1.1
bounty,Hideout,CARL,12,15,25,60.0,0.6
bounty,Hideout,CARL,13,110,237,46.4,0.6
bounty,Hideout,CARL,14,30,52,57.7,0.4
bounty,Hideout,CARL,15,7,14,50.0,0.4
bounty,Hideout,CARL,16,2,5,40.0,0.3
bounty,Hideout,CARL,17,0,1,0.0,0.3
bounty,Hideout,CARL,18,0,1,0.0,0.4
bounty,Hideout,CARL,19,1,2,50.0,1.4
bounty,Hideout,CARL,20,1,1,100.0,2.1
bounty,Hideout,CHARLIE,10,1,4,25.0,0.5
bounty,Hideout,CHARLIE,11,9,14,64.3,0.8
bounty,Hideout,CHARLIE,12,13,33,39.4,0.8
bounty,Hideout,CHARLIE,13,173,335,51.6,0.9
bounty,Hideout,CHARLIE,14,73,143,51.0,1.2
bounty,Hideout,CHARLIE,15,35,55,63.6,1.4
bounty,Hideout,CHARLIE,16,17,31,54.8,1.8
bounty,Hideout,CHARLIE,17,5,6,83.3,1.7
bounty,Hideout,CHARLIE,18,3,5,60.0,1.9
bounty,Hideout,CHARLIE,19,5,5,100.0,3.4
bounty,Hideout,CHARLIE,20,2,3,66.7,6.4
bounty,Hideout,CHESTER,10,6,8,75.0,1.0
bounty,Hideout,CHESTER,11,6,10,60.0,0.5
bounty,Hideout,CHESTER,12,10,20,50.0,0.5
bounty,Hideout,CHESTER,13,92,199,46.2,0.5
bounty,Hideout,CHESTER,14,32,64,50.0,0.5
bounty,Hideout,CHESTER,15,5,13,38.5,0.3
bounty,Hideout,CHESTER,16,6,8,75.0,0.5
bounty,Hideout,CHESTER,17,2,2,100.0,0.6
bounty,Hideout,CHESTER,18,0,3,0.0,1.1
bounty,Hideout,CHESTER,19,0,1,0.0,0.7
bounty,Hideout,CHUCK,10,1,1,100.0,0.1
bounty,Hideout,CHUCK,12,0,2,0.0,0.0
bounty,Hideout,CHUCK,13,10,20,50.0,0.1
bounty,Hideout,CHUCK,14,4,4,100.0,0.0
bounty,Hideout,CLANCY,10,0,1,0.0,0.1
bounty,Hideout,CLANCY,12,1,1,100.0,0.0
bounty,Hideout,CLANCY,13,10,23,43.5,0.1
bounty,Hideout,CLANCY,14,4,7,57.1,0.1
bounty,Hideout,CLANCY,15,1,1,100.0,0.0
bounty,Hideout,COLETTE,10,10,24,41.7,2.9
bounty,Hideout,COLETTE,11,21,44,47.7,2.4
bounty,Hideout,COLETTE,12,55,124,44.4,3.1
bounty,Hideout,COLETTE,13,631,1294,48.8,3.3
bounty,Hideout,COLETTE,14,256,517,49.5,4.4
bounty,Hideout,COLETTE,15,109,220,49.5,5.6
bounty,Hideout,COLETTE,16,49,84,58.3,4.8
bounty,Hideout,COLETTE,17,9,17,52.9,4.7
bounty,Hideout,COLETTE,18,3,10,30.0,3.7
bounty,Hideout,COLETTE,19,4,8,50.0,5.4
bounty,Hideout,COLETTE,20,1,2,50.0,4.3
bounty,Hideout,COLETTE,21,0,1,0.0,33.3
bounty,Hideout,COLT,10,18,30,60.0,3.7
bounty,Hideout,COLT,11,24,55,43.6,3.0
bounty,Hideout,COLT,12,74,162,45.7,4.0
bounty,Hideout,COLT,13,684,1368,50.0,3.5
bounty,Hideout,COLT,14,161,323,49.8,2.8
bounty,Hideout,COLT,15,48,98,49.0,2.5
bounty,Hideout,COLT,16,9,22,40.9,1.3
bounty,Hideout,COLT,17,6,12,50.0,3.3
bounty,Hideout,COLT,18,2,5,40.0,1.9
bounty,Hideout,COLT,19,2,2,100.0,1.4
bounty,Hideout,COLT,20,1,2,50.0,4.3
bounty,Hideout,CORDELIUS,10,1,2,50.0,0.2
bounty,Hideout,CORDELIUS,11,2,3,66.7,0.2
bounty,Hideout,CORDELIUS,12,1,5,20.0,0.1
bounty,Hideout,CORDELIUS,13,34,79,43.0,0.2
bounty,Hideout,CORDELIUS,14,10,18,55.6,0.2
bounty,Hideout,CORDELIUS,15,7,10,70.0,0.3
bounty,Hideout,CORDELIUS,16,3,4,75.0,0.2
bounty,Hideout,CORDELIUS,17,1,2,50.0,0.6
bounty,Hideout,CROW,10,19,26,73.1,3.2
bounty,Hideout,CROW,11,15,39,38.5,2.1
bounty,Hideout,CROW,12,61,108,56.5,2.7
bounty,Hideout,CROW,13,518,1051,49.3,2.7
bounty,Hideout,CROW,14,125,286,43.7,2.4
bounty,Hideout,CROW,15,54,120,45.0,3.1
bounty,Hideout,CROW,16,25,47,53.2,2.7
bounty,Hideout,CROW,17,4,13,30.8,3.6
bounty,Hideout,CROW,18,6,10,60.0,3.7
bounty,Hideout,CROW,19,3,8,37.5,5.4
bounty,Hideout,CROW,20,1,1,100.0,2.1
bounty,Hideout,DAMIAN,10,0,1,0.0,0.1
bounty,Hideout,DAMIAN,11,4,8,50.0,0.4
bounty,Hideout,DAMIAN,12,7,10,70.0,0.2
bounty,Hideout,DAMIAN,13,88,180,48.9,0.5
bounty,Hideout,DAMIAN,14,33,75,44.0,0.6
bounty,Hideout,DAMIAN,15,17,36,47.2,0.9
bounty,Hideout,DAMIAN,16,13,21,61.9,1.2
bounty,Hideout,DAMIAN,17,3,3,100.0,0.8
bounty,Hideout,DAMIAN,18,2,3,66.7,1.1
bounty,Hideout,DARRYL,11,1,6,16.7,0.3
bounty,Hideout,DARRYL,12,2,6,33.3,0.1
bounty,Hideout,DARRYL,13,28,58,48.3,0.1
bounty,Hideout,DARRYL,14,6,19,31.6,0.2
bounty,Hideout,DARRYL,16,0,2,0.0,0.1
bounty,Hideout,DARRYL,17,1,2,50.0,0.6
bounty,Hideout,DOUG,10,2,2,100.0,0.2
bounty,Hideout,DOUG,11,0,3,0.0,0.2
bounty,Hideout,DOUG,12,0,1,0.0,0.0
bounty,Hideout,DOUG,13,29,53,54.7,0.1
